EAGLE Version 6.1.0 Copyright (c) 1988-2012 CadSoft
List of signals with length and its max. frequency / current
exported from /Users/michaelhayashi/Dropbox/IEEE ROV 2015/Electronics/boards/micro-board/MicroBoardMk2/MicroBoardMk2.brd
at 3/21/15 7:39 PM
Signal	f max. [MHz]	l [mm]	A [mm2]	R [mOhm]	w min [mm]	w max [mm]	Imax [A]
PD9	  14571.91	 20.574	0.009	  40.27	 0.254	 0.254	  0.80
PE11	  14883.54	 20.143	0.009	  39.43	 0.254	 0.254	  0.80
PC4	  15038.16	 19.936	0.009	  39.02	 0.254	 0.254	  0.80
PC8	  15318.78	 19.571	0.009	  38.30	 0.254	 0.254	  0.80
PB4	  15370.30	 19.505	0.009	  38.18	 0.254	 0.254	  0.80
PD4	  15535.25	 19.298	0.009	  37.77	 0.254	 0.254	  0.80
N$27	  15654.76	 19.151	0.009	  37.48	 0.254	 0.254	  0.80
PE2	  15694.28	 19.103	0.009	  37.39	 0.254	 0.254	  0.80
PB12	  15694.28	 19.103	0.009	  37.39	 0.254	 0.254	  0.80
PC6	  15889.95	 18.867	0.009	  36.93	 0.254	 0.254	  0.80
PG15	  15889.95	 18.867	0.009	  36.93	 0.254	 0.254	  0.80
PH1	  15889.95	 18.867	0.009	  36.93	 0.254	 0.254	  0.80
PE9	  15889.95	 18.867	0.009	  36.93	 0.254	 0.254	  0.80
PE0	  16048.53	 18.681	0.009	  36.56	 0.254	 0.254	  0.80
PB10	  16056.36	 18.672	0.009	  36.55	 0.254	 0.254	  0.80
PB2	  16066.31	 18.660	0.009	  36.52	 0.254	 0.254	  0.80
PF2	  16066.31	 18.660	0.009	  36.52	 0.254	 0.254	  0.80
PE4	  16234.28	 18.467	0.009	  36.14	 0.254	 0.254	  0.80
PC10	  16236.46	 18.465	0.009	  36.14	 0.254	 0.254	  0.80
PE7	  16445.98	 18.229	0.009	  35.68	 0.254	 0.254	  0.80
PB8	  16603.71	 18.056	0.009	  35.34	 0.254	 0.254	  0.80
PE14	  16624.31	 18.034	0.009	  35.30	 0.254	 0.254	  0.80
PF12	  16634.97	 18.022	0.009	  35.27	 0.254	 0.254	  0.80
PA5	  16817.44	 17.827	0.009	  34.89	 0.254	 0.254	  0.80
PD8	  16817.45	 17.827	0.009	  34.89	 0.254	 0.254	  0.80
PG13	  17042.33	 17.591	0.009	  34.43	 0.254	 0.254	  0.80
PG7	  17042.33	 17.591	0.009	  34.43	 0.254	 0.254	  0.80
PG0	  17042.33	 17.591	0.009	  34.43	 0.254	 0.254	  0.80
PE12	  17233.91	 17.396	0.009	  34.05	 0.254	 0.254	  0.80
PG3	  17245.36	 17.384	0.009	  34.03	 0.254	 0.254	  0.80
PD1	  17441.55	 17.189	0.009	  33.64	 0.254	 0.254	  0.80
PG11	  17680.10	 16.957	0.009	  33.19	 0.254	 0.254	  0.80
PG5	  17683.55	 16.954	0.009	  33.18	 0.254	 0.254	  0.80
PF14	  17683.56	 16.954	0.009	  33.18	 0.254	 0.254	  0.80
PB5	  17885.95	 16.762	0.009	  32.81	 0.254	 0.254	  0.80
PE10	  17889.91	 16.758	0.009	  32.80	 0.254	 0.254	  0.80
PD3	  18113.77	 16.551	0.009	  32.39	 0.254	 0.254	  0.80
PC5	  18113.77	 16.551	0.009	  32.39	 0.254	 0.254	  0.80
PC7	  18597.82	 16.120	0.009	  31.55	 0.254	 0.254	  0.80
PB1	  18839.88	 15.913	0.009	  31.15	 0.254	 0.254	  0.80
N$26	  19146.58	 15.658	0.007	  38.31	 0.203	 0.254	  0.65
PE8	  19364.09	 15.482	0.009	  30.30	 0.254	 0.254	  0.80
PF11	  19626.63	 15.275	0.009	  29.90	 0.254	 0.254	  0.80
PD14	  19626.63	 15.275	0.009	  29.90	 0.254	 0.254	  0.80
PG8	  20196.18	 14.844	0.009	  29.05	 0.254	 0.254	  0.80
PG1	  20196.18	 14.844	0.009	  29.05	 0.254	 0.254	  0.80
PD7	  20481.94	 14.637	0.009	  28.65	 0.254	 0.254	  0.80
PG2	  20481.95	 14.637	0.009	  28.65	 0.254	 0.254	  0.80
PF15	  21103.02	 14.207	0.009	  27.81	 0.254	 0.254	  0.80
PG6	  21103.02	 14.206	0.009	  27.81	 0.254	 0.254	  0.80
PG12	  21103.02	 14.206	0.009	  27.81	 0.254	 0.254	  0.80
